brain_area,layer,condition,parameter,median_retention,n
LM,L4,contrast,0.5,0.4491930369263737,93
LM,L4,contrast,0.75,0.8273776049381291,93
LM,L4,contrast,1.25,1.0097286942317123,93
LM,L4,contrast,1.5,0.9579381095376576,93
LM,L4,contrast,2.0,0.7451844225187423,93
LM,L4,rotation,2.0,0.9963775017789096,93
LM,L4,rotation,5.0,0.963919470695488,93
LM,L4,rotation,10.0,0.8651000033019087,93
LM,L4,rotation,15.0,0.7342459514669579,93
LM,L4,rotation,30.0,0.3511657235585744,93
LM,L4,rotation,60.0,0.0902958056915383,93
LM,L4,rotation,90.0,0.0594518803011055,93
LM,L4,slow_down,0.5,0.9134278791337798,93
LM,L4,slow_down,0.67,0.9633572960623606,93
LM,L4,slow_down,0.8,0.988966143543836,93
LM,L4,speed_up,1.25,0.9755119496671432,93
LM,L4,speed_up,1.5,0.9194558822883624,93
LM,L4,speed_up,2.0,0.8550218946698712,93
LM,L4,temporal_reverse,-1.0,0.773027313732166,93
LM,L4,translation,1.0,0.9829671629200736,93
LM,L4,translation,2.0,0.9384683737395972,93
LM,L4,translation,4.0,0.7977114289793925,93
LM,L4,translation,8.0,0.4691125121508772,93
LM,L4,translation,16.0,0.1609686807932746,93
LM,L4,translation,32.0,0.0641359439779884,93
LM,L4,translation,48.0,0.0494270344047457,93
LM,L5,contrast,0.25,0.0574485199112734,30
LM,L5,contrast,0.5,0.3699574450181234,30
LM,L5,contrast,0.75,0.7691633159158973,30
LM,L5,contrast,1.25,1.019919524941277,30
LM,L5,contrast,1.5,0.9630040501083833,30
LM,L5,contrast,2.0,0.8330718270129345,30
LM,L5,rotation,2.0,0.9957339270066302,30
LM,L5,rotation,5.0,0.9556806949825025,30
LM,L5,rotation,10.0,0.843567887139016,30
LM,L5,rotation,15.0,0.705228662612399,30
LM,L5,rotation,30.0,0.34942359052766364,30
LM,L5,rotation,60.0,0.10387694187608736,30
LM,L5,rotation,90.0,0.06739218474928255,30
LM,L5,slow_down,0.5,0.7739380626088742,30
LM,L5,slow_down,0.67,0.8767481635575871,30
LM,L5,slow_down,0.8,0.9305829658879989,30
LM,L5,speed_up,1.25,0.963564074063839,30
LM,L5,speed_up,1.5,0.9175615503428036,30
LM,L5,speed_up,2.0,0.8136491229327915,30
LM,L5,temporal_reverse,-1.0,0.7475735826786952,30
LM,L5,translation,1.0,0.9781276289589305,30
LM,L5,translation,2.0,0.9257538735284774,30
LM,L5,translation,4.0,0.7891393220671912,30
LM,L5,translation,8.0,0.5195755749793093,30
LM,L5,translation,16.0,0.1741033097364634,30
LM,L5,translation,32.0,0.046815693736934505,30
LM,L5,translation,48.0,0.023596589325841848,30
RL,L23,contrast,0.25,0.0877524286279167,5437
RL,L23,contrast,0.5,0.3426757979812686,5437
RL,L23,contrast,0.75,0.7373288285566791,5437
RL,L23,contrast,1.25,1.090898847232032,5437
RL,L23,contrast,1.5,1.0810697162032352,5437
RL,L23,contrast,2.0,0.96851933364231,5437
RL,L23,rotation,2.0,0.9996831536866784,5437
RL,L23,rotation,5.0,0.9624337432891352,5437
RL,L23,rotation,10.0,0.8522183885675279,5437
RL,L23,rotation,15.0,0.714973507421294,5437
RL,L23,rotation,30.0,0.3495800506129672,5437
RL,L23,rotation,60.0,0.1099710617370919,5437
RL,L23,rotation,90.0,0.0796624061384349,5437
RL,L23,slow_down,0.5,0.6787669190815596,5437
RL,L23,slow_down,0.67,0.8023503691126364,5437
RL,L23,slow_down,0.8,0.8777656100759176,5437
RL,L23,speed_up,1.25,0.960975532872278,5437
RL,L23,speed_up,1.5,0.9232369324271996,5437
