source_area,target_area,median_within_readout_z
V1,V1,0.5093106529056696
V1,LM,-0.06889707868311243
V1,AL,-0.15867991455410244
V1,RL,-0.4127410955765082
LM,V1,0.09082205016955114
LM,LM,0.4056169000855021
LM,AL,0.27727973713368753
LM,RL,-0.35774499586573383
AL,V1,-0.05354407248272186
AL,LM,0.05266305532797703
AL,AL,1.0880928288594907
AL,RL,-0.4554638501657598
RL,V1,-1.078699675327145
RL,LM,-0.7852409969510261
RL,AL,-1.2971856450495876
RL,RL,1.4357305297232412
