pattern,v1_median,lm_median,rl_median,al_median,bootstrap_count,bootstrap_replicates,bootstrap_probability,seed
increasing,0.4092382828801231,0.3419494081503131,0.2859647961948334,0.3389484734278186,0,5000,0.0,20260926
decreasing,0.4092382828801231,0.3419494081503131,0.2859647961948334,0.3389484734278186,0,5000,0.0,20260926
