brain_area,high_retention,n,retention,pixel_distance
AL,False,3743,0.6703508170591812,0.0448565445840358
AL,True,416,0.8681849409885178,0.02722066733986135
LM,False,11954,0.6736931861591887,0.045057035982608754
LM,True,1329,0.8601817390167137,0.0293507669121027
RL,False,10108,0.6871631492054597,0.0413554310798645
RL,True,1124,0.8752683683207948,0.02444460894912475
V1,False,67947,0.6796701691955154,0.0442034788429737
V1,True,7550,0.8445449422008964,0.0334136169403791
