Unnamed: 0_level_0,area_balanced_sparseness,area_balanced_sparseness,area_balanced_sparseness,global_sparseness,global_sparseness,global_sparseness,self_rank_percentile,self_rank_percentile,self_rank_percentile,self_over_library_max,self_over_library_max,self_over_library_max,home_minus_other_logmean,home_minus_other_logmean,home_minus_other_logmean,effective_participation,effective_participation,effective_participation,area_balanced_sparseness
Unnamed: 0_level_1,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,count,median,mean,std
AL,4159,0.3389484734278186,0.3522450083412803,4159,0.3466521895763938,0.358411818474083,4159,1.0,0.9999635908741566,4159,1.0,0.992514668112504,4159,0.0710771239844951,0.0805270563570313,4159,68060.24141182704,66835.24086955476,0.14370633614024317
LM,13283,0.3419494081503131,0.3586024669663896,13283,0.3627286282212315,0.3804462380138745,13283,1.0,0.9999233498893766,13283,1.0,0.991142638317583,13283,0.0234328722555732,0.0251532022140442,13283,66385.55879819432,64539.91538609468,0.14445909545509766
RL,11232,0.2859647961948334,0.3120371862829265,11232,0.3132737672298349,0.3392220496948336,11232,1.0,0.9998571498703496,11232,1.0,0.9887797916818056,11232,0.066087032132768,0.0633554276404054,11232,71537.2716676681,68834.23908328918,0.14832154967775227
V1,75497,0.4092382828801231,0.4162543586133189,75497,0.4463590258502674,0.4525280021374772,75497,1.0,0.9999444346429736,75497,1.0,0.9905515161749748,75497,0.0325465704615768,0.0377962093262259,75497,57673.78027717765,57031.158017339,0.15018918530372832
