condition,n,spearman_rho,ci_low,ci_high,median_absolute_difference
contrast,64,0.9920329670329668,0.9783769849134193,0.9959233844849281,0.00484912422845879
rotation,64,0.9976648351648351,0.9921168628750704,0.9988098327068171,0.004155143627563779
translation,64,0.9956043956043955,0.9861522124714936,0.9978468047382938,0.004194344360139629
temporal_reverse,64,0.8815018315018315,0.7433015993346077,0.9591192770523274,0.01782498830993473
speed_up,64,0.9684523809523808,0.9402131929390586,0.9796503200824651,0.010700715795117666
slow_down,64,0.9728479853479853,0.9470556712967322,0.9825433308699599,0.01591832610989502
