seed,condition,parameter,v1_median,rl_median,directed_difference,predicted_direction_preserved
42,contrast,0.25,0.06902417215072824,0.03421780815780705,-0.0348063639929212,False
42,rotation,90.0,0.013361906771623643,0.024095987891208894,0.010734081119585251,True
42,translation,48.0,0.015454927255944634,0.013705546262366846,-0.0017493809935777878,False
42,temporal_reverse,-1.0,0.6653276041856833,0.6183336078909474,-0.046993996294735885,False
42,speed_up,2.0,0.6875733539121336,0.7494782570953089,0.06190490318317532,True
42,slow_down,0.5,0.8678275018816699,0.724232010628058,0.14359549125361193,True
1042,contrast,0.25,0.06950447552088834,0.0338176854456841,-0.03568679007520424,False
1042,rotation,90.0,0.012532792561322757,0.02228027284647047,0.009747480285147714,True
1042,translation,48.0,0.015612649186680152,0.014418257447064299,-0.0011943917396158524,False
1042,temporal_reverse,-1.0,0.6870138316832803,0.6393166021697181,-0.047697229513562256,False
1042,speed_up,2.0,0.689453576162663,0.7762821741374888,0.08682859797482578,True
1042,slow_down,0.5,0.876248917059312,0.7249454923585339,0.15130342470077807,True
