task_index,session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
0,8,5,4455,4234,908.14,228.85,241.55,AL,4,0.490109,all_model_readouts_v1,8.646911357301441e+17,root_864691135730144185,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
1,9,3,4380,4054,1088.36,159.03,326.67,AL,4,0.694506,all_model_readouts_v1,8.646911359187539e+17,root_864691135918753968,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
2,6,7,8041,7342,1019.8,146.54,526.86,AL,8,0.320357,all_model_readouts_v1,8.646911355845792e+17,root_864691135584579192,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
3,6,2,8668,8069,996.03,181.84,558.02,AL,8,,all_model_readouts_v1,,,,unassigned,False,False,
4,4,7,2736,2372,815.56,411.09,242.18,LM,4,0.0995573,all_model_readouts_v1,8.646911359192032e+17,root_864691135919203248,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
5,6,7,7119,6464,811.8,368.35,392.69,LM,6,0.689931,all_model_readouts_v1,8.64691135941145e+17,root_864691135941144948,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
6,6,4,7485,6927,845.65,310.33,410.63,LM,6,0.769271,all_model_readouts_v1,8.646911357859612e+17,root_864691135785961156,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
7,7,3,6576,6068,337.69,188.47,423.96,LM,5,0.668359,all_model_readouts_v1,,,,unassigned,False,False,
8,7,5,2200,1994,1274.1,103.23,191.69,RL,2,0.587537,all_model_readouts_v1,8.646911357545805e+17,root_864691135754580434,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
9,9,3,8417,7758,973.61,349.37,340.16,RL,6,0.726797,all_model_readouts_v1,8.646911362102337e+17,root_864691136210233788,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
10,6,7,7018,6370,1048.52,296.62,391.99,RL,6,0.829174,all_model_readouts_v1,8.646911357373797e+17,root_864691135737379716,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
11,7,5,1528,1383,1001.12,280.62,192.99,RL,2,,all_model_readouts_v1,,,,unassigned,False,False,
12,8,5,1818,1728,1111.24,607.17,228.9,V1,2,0.59176,all_model_readouts_v1,8.646911355695357e+17,root_864691135569535724,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
13,6,7,6339,5762,936.15,705.16,396.09,V1,6,0.0502983,all_model_readouts_v1,8.646911351355453e+17,root_864691135135545369,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
14,4,7,8195,7310,1112.75,536.06,505.06,V1,8,0.710818,all_model_readouts_v1,8.646911357774514e+17,root_864691135777451360,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
15,5,6,3390,3120,529.32,1021.19,311.18,V1,3,0.806476,all_model_readouts_v1,,,,unassigned,False,False,
16,5,6,4203,3855,824.82,196.15,307.86,AL,4,0.536635,all_model_readouts_v1,8.646911360324686e+17,root_864691136032468667,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
17,9,3,8025,7388,1133.42,181.87,338.65,AL,6,0.80062,all_model_readouts_v1,8.64691135491289e+17,root_864691135491288935,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
18,8,5,10358,9733,1011.25,166.03,506.93,AL,8,0.42138,all_model_readouts_v1,8.646911354766276e+17,root_864691135476627624,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
19,5,7,8848,8123,1014.73,100.62,564.9,AL,8,0.328389,all_model_readouts_v1,8.646911355614679e+17,root_864691135561467873,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
20,8,5,4580,4350,815.04,409.38,241.22,LM,4,0.538432,all_model_readouts_v1,8.646911359192032e+17,root_864691135919203248,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
21,9,3,7342,6749,834.53,338.34,340.68,LM,6,0.588012,all_model_readouts_v1,8.646911361366158e+17,root_864691136136615805,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
22,7,5,8628,7828,802.57,383.19,502.45,LM,8,0.459459,all_model_readouts_v1,8.646911369253536e+17,root_864691136925353546,L5b,L5,True,False,aibs_metamodel_mtypes_v661_v2
23,5,6,97,90,329.06,313.42,175.1,LM,1,0.571974,all_model_readouts_v1,,,,unassigned,False,False,
24,5,6,2596,2384,1047.05,251.36,168.92,RL,2,0.535679,all_model_readouts_v1,8.646911357409568e+17,root_864691135740956779,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
25,5,6,4353,3994,1178.85,398.27,306.03,RL,4,0.852973,all_model_readouts_v1,8.646911348851292e+17,root_864691134885129210,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
26,4,7,8263,7372,1128.48,498.45,504.83,RL,8,0.549779,all_model_readouts_v1,8.646911366172273e+17,root_864691136617227227,L5NP,L5,True,True,aibs_metamodel_mtypes_v661_v2
27,5,6,8638,7983,845.37,367.33,569.77,RL,8,,all_model_readouts_v1,,,,unassigned,False,False,
28,6,7,1253,1113,1141.29,985.0,122.15,V1,2,0.577758,all_model_readouts_v1,8.646911364257357e+17,root_864691136425735727,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
29,7,3,4826,4454,975.84,915.38,348.89,V1,4,0.571533,all_model_readouts_v1,8.64691136007401e+17,root_864691136007400906,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
30,6,4,6752,6242,1134.17,707.04,412.49,V1,6,0.848741,all_model_readouts_v1,8.646911360401987e+17,root_864691136040198654,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
31,8,5,418,401,692.93,652.22,236.91,V1,1,0.856797,all_model_readouts_v1,,,,unassigned,False,False,
32,4,7,2645,2292,910.67,221.85,239.92,AL,4,0.656991,all_model_readouts_v1,8.646911357301441e+17,root_864691135730144185,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
33,8,5,8604,8095,974.26,158.02,371.76,AL,6,0.661362,all_model_readouts_v1,8.646911357781257e+17,root_864691135778125757,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
34,7,3,8947,8292,1017.19,208.84,487.93,AL,8,0.330343,all_model_readouts_v1,8.646911360403494e+17,root_864691136040349438,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
35,6,2,2561,2348,712.3,119.13,291.95,AL,3,0.826,all_model_readouts_v1,,,,unassigned,False,False,
36,6,2,4142,3811,823.96,344.46,289.09,LM,4,0.647694,all_model_readouts_v1,8.646911369038765e+17,root_864691136903876530,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
37,6,6,7197,6660,795.71,348.83,400.49,LM,6,0.565444,all_model_readouts_v1,8.646911357555469e+17,root_864691135755546834,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
38,4,7,7716,6871,819.81,316.06,505.9,LM,8,0.725359,all_model_readouts_v1,8.646911351232824e+17,root_864691135123282471,L5NP,L5,True,True,aibs_metamodel_mtypes_v661_v2
39,6,6,3478,3224,515.17,265.28,270.11,LM,3,0.363529,all_model_readouts_v1,,,,unassigned,False,False,
40,6,4,1307,1198,1192.84,456.18,135.59,RL,2,0.697652,all_model_readouts_v1,8.646911367428832e+17,root_864691136742883164,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
41,9,3,7277,6690,1148.57,189.44,338.63,RL,6,0.512046,all_model_readouts_v1,8.646911358419223e+17,root_864691135841922275,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
42,6,6,7291,6743,1047.31,299.66,399.38,RL,6,0.628332,all_model_readouts_v1,8.646911357373797e+17,root_864691135737379716,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
43,5,6,8645,7990,1170.9,362.29,570.93,RL,8,,all_model_readouts_v1,,,,unassigned,False,False,
44,6,4,4818,4440,921.28,513.72,274.82,V1,4,0.770482,all_model_readouts_v1,8.646911359384832e+17,root_864691135938483253,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
45,8,5,8500,7998,1175.16,874.45,368.12,V1,6,0.720353,all_model_readouts_v1,8.646911357732092e+17,root_864691135773209163,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
46,7,3,7405,6850,1027.77,515.09,419.99,V1,6,0.0938774,all_model_readouts_v1,8.646911352126184e+17,root_864691135212618368,L5b,L5,True,False,aibs_metamodel_mtypes_v661_v2
47,8,5,10176,9571,1297.13,685.57,503.28,V1,8,0.541343,all_model_readouts_v1,8.646911356102528e+17,root_864691135610252807,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
48,9,4,7082,6605,819.23,255.97,188.43,AL,6,0.592221,all_model_readouts_v1,8.646911351356234e+17,root_864691135135623449,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
49,9,3,7296,6708,991.66,225.42,339.45,AL,6,0.211996,all_model_readouts_v1,8.64691135135816e+17,root_864691135135815961,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
50,7,3,8507,7877,969.5,70.91,487.93,AL,8,0.334422,all_model_readouts_v1,8.646911348851738e+17,root_864691134885173754,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
51,6,4,3831,3521,777.51,173.36,272.97,AL,4,0.696408,all_model_readouts_v1,,,,unassigned,False,False,
52,9,6,4267,3961,809.3,422.14,224.91,LM,4,0.47033,all_model_readouts_v1,8.646911365225527e+17,root_864691136522552721,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
53,4,7,6203,5506,818.85,336.51,375.64,LM,6,0.442591,all_model_readouts_v1,8.646911360093935e+17,root_864691136009393580,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
54,5,6,6751,6184,810.54,328.8,445.05,LM,6,0.908384,all_model_readouts_v1,8.646911365359653e+17,root_864691136535965346,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
55,6,4,3606,3321,635.42,345.31,278.01,LM,3,0.691674,all_model_readouts_v1,,,,unassigned,False,False,
56,6,2,1955,1791,1339.28,254.95,145.44,RL,2,0.727487,all_model_readouts_v1,8.646911350132618e+17,root_864691135013261814,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
57,9,3,2566,2394,1282.46,471.01,319.37,RL,2,0.459602,all_model_readouts_v1,8.646911353387057e+17,root_864691135338705638,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
58,7,5,8653,7852,1097.4,484.43,502.84,RL,8,0.640553,all_model_readouts_v1,8.646911356584142e+17,root_864691135658414210,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
59,4,7,6211,5513,859.33,331.41,374.82,RL,6,,all_model_readouts_v1,,,,unassigned,False,False,
60,9,4,7624,7116,1051.52,971.69,189.88,V1,6,0.570081,all_model_readouts_v1,8.646911359717526e+17,root_864691135971752549,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
61,6,2,7076,6545,1114.75,596.89,425.1,V1,6,0.27854,all_model_readouts_v1,8.646911357384403e+17,root_864691135738440305,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
62,7,5,8863,8041,848.31,1123.92,504.38,V1,8,0.482092,all_model_readouts_v1,8.646911350129161e+17,root_864691135012916118,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
63,5,7,6111,5556,382.49,1110.19,440.82,V1,5,0.802716,all_model_readouts_v1,,,,unassigned,False,False,
64,6,4,1199,1099,1003.49,201.24,134.39,AL,2,0.683138,all_model_readouts_v1,8.646911354291005e+17,root_864691135429100592,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
65,5,6,5121,4707,1013.43,130.86,305.49,AL,4,0.410782,all_model_readouts_v1,8.646911360215711e+17,root_864691136021571064,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
66,7,3,6689,6162,909.6,209.47,417.64,AL,6,0.318668,all_model_readouts_v1,8.64691135610029e+17,root_864691135610029063,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
67,7,5,7519,6796,1067.26,92.27,365.19,AL,6,0.603694,all_model_readouts_v1,,,,unassigned,False,False,
68,8,5,4581,4351,807.28,424.21,241.2,LM,4,0.526197,all_model_readouts_v1,8.646911354791608e+17,root_864691135479160774,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
69,7,5,6794,6133,809.84,403.9,367.72,LM,6,0.552443,all_model_readouts_v1,8.646911363097076e+17,root_864691136309707610,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
70,5,6,6752,6185,828.57,308.84,444.78,LM,6,0.519101,all_model_readouts_v1,8.646911353863246e+17,root_864691135386324565,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
71,8,5,8842,8304,279.38,344.31,511.93,LM,7,0.193449,all_model_readouts_v1,,,,unassigned,False,False,
72,9,6,2590,2424,1225.17,341.71,198.62,RL,2,0.505872,all_model_readouts_v1,8.646911355712443e+17,root_864691135571244325,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
73,4,7,6362,5637,1317.2,277.82,365.55,RL,6,0.673434,all_model_readouts_v1,8.64691135233925e+17,root_864691135233924953,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
74,6,6,6914,6400,1324.08,277.96,398.51,RL,6,0.77965,all_model_readouts_v1,8.646911356845393e+17,root_864691135684539319,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
75,6,4,3846,3535,1196.19,185.61,269.99,RL,4,,all_model_readouts_v1,,,,unassigned,False,False,
76,6,7,3753,3409,817.79,898.56,263.15,V1,4,0.431075,all_model_readouts_v1,8.646911355029791e+17,root_864691135502979012,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
77,7,3,4593,4235,1042.51,628.4,346.87,V1,4,0.493939,all_model_readouts_v1,8.646911356927146e+17,root_864691135692714687,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
78,8,5,9892,9301,884.68,627.08,505.58,V1,8,0.803437,all_model_readouts_v1,8.646911357789352e+17,root_864691135778935229,L5b,L5,True,False,aibs_metamodel_mtypes_v661_v2
79,5,7,6239,5667,458.43,936.73,440.35,V1,5,0.845199,all_model_readouts_v1,,,,unassigned,False,False,
80,6,2,4052,3729,1035.72,170.53,285.34,AL,4,0.658449,all_model_readouts_v1,8.646911354894339e+17,root_864691135489433914,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
81,6,2,4051,3728,1018.01,168.03,285.52,AL,4,0.421054,all_model_readouts_v1,8.646911349483773e+17,root_864691134948377340,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
82,5,6,7624,6987,948.61,66.96,442.0,AL,6,0.645526,all_model_readouts_v1,8.646911355645532e+17,root_864691135564553239,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
83,7,3,4223,3891,1079.57,111.48,343.2,AL,4,0.761074,all_model_readouts_v1,,,,unassigned,False,False,
84,6,2,2273,2092,828.23,323.7,149.2,LM,2,0.827253,all_model_readouts_v1,8.646911351131985e+17,root_864691135113198489,L2a,L23,True,True,aibs_metamodel_mtypes_v661_v2
85,6,6,7327,6774,839.12,311.57,400.0,LM,6,0.385826,all_model_readouts_v1,8.646911365367453e+17,root_864691136536745378,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
86,8,5,10522,9892,817.96,320.8,507.23,LM,8,0.573672,all_model_readouts_v1,8.646911351232824e+17,root_864691135123282471,L5NP,L5,True,False,aibs_metamodel_mtypes_v661_v2
87,6,6,2217,2038,425.77,279.91,269.96,LM,3,0.409532,all_model_readouts_v1,,,,unassigned,False,False,
88,6,7,3926,3568,1291.72,326.78,254.23,RL,4,0.374856,all_model_readouts_v1,8.646911354547739e+17,root_864691135454773866,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
89,9,3,1647,1523,925.69,396.22,319.39,RL,2,0.358484,all_model_readouts_v1,8.646911357405503e+17,root_864691135740550292,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
90,7,3,9146,8482,1299.66,318.25,487.95,RL,8,0.621349,all_model_readouts_v1,8.646911369237696e+17,root_864691136923769572,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
91,4,7,8000,7132,1177.58,255.3,503.62,RL,8,0.424242,all_model_readouts_v1,8.646911361446134e+17,root_864691136144613428,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
92,6,7,4051,3686,842.05,769.3,261.73,V1,4,0.635432,all_model_readouts_v1,8.646911361352749e+17,root_864691136135274891,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
93,9,3,8332,7676,893.13,1093.25,344.29,V1,6,0.751449,all_model_readouts_v1,8.646911359878267e+17,root_864691135987826691,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
94,5,7,7133,6480,991.91,977.12,440.87,V1,6,0.729302,all_model_readouts_v1,8.646911358100477e+17,root_864691135810047773,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
95,9,4,6589,6149,426.15,740.69,191.05,V1,5,0.659206,all_model_readouts_v1,,,,unassigned,False,False,
96,6,2,2275,2094,1043.16,193.85,147.0,AL,2,0.299724,all_model_readouts_v1,8.64691135468142e+17,root_864691135468141964,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
97,4,7,6707,5935,998.65,168.86,371.61,AL,6,0.501622,all_model_readouts_v1,8.64691135429868e+17,root_864691135429868080,L4a,L4,True,False,aibs_metamodel_mtypes_v661_v2
98,7,3,6708,6180,944.91,232.16,417.75,AL,6,0.607575,all_model_readouts_v1,8.646911353876102e+17,root_864691135387610241,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
99,6,7,1723,1535,704.59,117.57,261.9,AL,3,0.772138,all_model_readouts_v1,,,,unassigned,False,False,
100,5,6,1485,1381,834.88,339.37,171.06,LM,2,0.60645,all_model_readouts_v1,8.646911356613245e+17,root_864691135661324528,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
101,7,3,4302,3961,800.83,287.65,344.39,LM,4,0.717893,all_model_readouts_v1,8.646911358487356e+17,root_864691135848735582,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
102,5,6,6767,6200,827.81,363.65,445.28,LM,6,0.773172,all_model_readouts_v1,8.646911365943464e+17,root_864691136594346402,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
103,6,4,3631,3345,282.43,198.95,278.1,LM,3,0.858465,all_model_readouts_v1,,,,unassigned,False,False,
104,7,5,4192,3796,934.62,443.97,234.51,RL,4,0.505575,all_model_readouts_v1,8.64691135687678e+17,root_864691135687677920,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
105,7,3,4311,3970,1008.24,276.04,344.35,RL,4,0.725451,all_model_readouts_v1,8.646911360092788e+17,root_864691136009278894,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
106,4,7,7726,6881,1182.06,295.38,503.75,RL,8,0.233208,all_model_readouts_v1,8.646911356456036e+17,root_864691135645603567,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
107,5,6,8966,8307,1207.6,264.79,569.82,RL,8,0.210911,all_model_readouts_v1,8.646911369126369e+17,root_864691136912636913,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
108,6,2,1499,1376,996.95,611.21,149.86,V1,2,0.697757,all_model_readouts_v1,8.64691135864754e+17,root_864691135864754046,L2b,L23,True,True,aibs_metamodel_mtypes_v661_v2
109,5,7,5115,4646,880.66,784.96,301.82,V1,4,0.748727,all_model_readouts_v1,8.646911354415128e+17,root_864691135441512776,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
110,7,5,8679,7878,930.25,556.33,502.95,V1,8,0.659737,all_model_readouts_v1,8.646911362674703e+17,root_864691136267470324,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
111,9,4,166,155,246.68,461.18,171.05,V1,1,0.815128,all_model_readouts_v1,,,,unassigned,False,False,
112,5,7,1353,1249,1037.54,172.96,157.02,AL,2,0.443668,all_model_readouts_v1,8.646911357189962e+17,root_864691135718996273,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
113,5,6,5068,4655,996.66,71.36,305.17,AL,4,0.323196,all_model_readouts_v1,8.646911354727962e+17,root_864691135472796210,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
114,6,7,8470,7759,856.39,280.93,526.71,AL,8,0.540062,all_model_readouts_v1,8.646911354769033e+17,root_864691135476903336,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
115,7,3,6662,6136,1068.78,115.33,416.45,AL,6,0.645551,all_model_readouts_v1,,,,unassigned,False,False,
116,5,7,2212,2017,820.39,387.42,160.95,LM,2,0.610675,all_model_readouts_v1,8.646911356877996e+17,root_864691135687799520,L2a,L23,True,False,aibs_metamodel_mtypes_v661_v2
117,4,7,5523,4905,821.69,319.04,375.54,LM,6,0.592621,all_model_readouts_v1,8.646911366622077e+17,root_864691136662207710,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
118,6,7,8455,7744,792.51,340.68,526.68,LM,8,0.752818,all_model_readouts_v1,8.646911371978518e+17,root_864691137197851713,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
119,6,4,2360,2146,616.44,145.31,278.06,LM,3,0.710057,all_model_readouts_v1,,,,unassigned,False,False,
120,6,2,4075,3749,1098.47,237.69,285.14,RL,4,0.875299,all_model_readouts_v1,8.646911358661654e+17,root_864691135866165374,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
121,8,5,7538,7120,1066.63,392.07,370.54,RL,6,0.600731,all_model_readouts_v1,8.646911356413097e+17,root_864691135641309755,L4c,L4,True,False,aibs_metamodel_mtypes_v661_v2
122,7,3,7253,6703,1295.78,229.05,416.89,RL,6,0.592335,all_model_readouts_v1,8.646911360919999e+17,root_864691136091999924,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
123,6,2,8317,7726,1208.4,305.38,558.03,RL,8,0.201749,all_model_readouts_v1,8.646911357196682e+17,root_864691135719668273,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
124,6,2,4610,4258,983.35,953.64,291.94,V1,4,0.664417,all_model_readouts_v1,8.646911353967263e+17,root_864691135396726261,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
125,9,3,2516,2345,1042.79,1015.23,323.15,V1,2,0.549487,all_model_readouts_v1,8.646911358844607e+17,root_864691135884460656,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
126,7,3,8639,8005,973.61,561.4,487.94,V1,8,0.622002,all_model_readouts_v1,8.646911361366465e+17,root_864691136136646525,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
127,6,4,2775,2539,261.04,709.94,277.99,V1,3,0.789425,all_model_readouts_v1,,,,unassigned,False,False,
128,9,4,7056,6581,893.4,201.7,188.16,AL,6,0.384916,all_model_readouts_v1,8.646911360517274e+17,root_864691136051727347,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
129,6,2,8685,8086,874.6,128.75,558.01,AL,8,0.395047,all_model_readouts_v1,8.646911369908192e+17,root_864691136990819221,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
130,6,2,7442,6872,962.68,195.2,422.52,AL,6,0.698365,all_model_readouts_v1,8.646911356935569e+17,root_864691135693556927,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
131,6,4,8302,7710,887.12,227.74,542.6,AL,8,0.373599,all_model_readouts_v1,8.646911353832773e+17,root_864691135383277274,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
132,6,7,3315,3002,815.65,381.52,258.22,LM,4,0.315982,all_model_readouts_v1,8.646911351008783e+17,root_864691135100878368,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
133,6,7,7129,6472,819.49,358.4,392.59,LM,6,0.715144,all_model_readouts_v1,8.64691135587754e+17,root_864691135587753970,L4c,L4,True,False,aibs_metamodel_mtypes_v661_v2
134,6,4,7525,6958,822.69,330.2,410.96,LM,6,0.66691,all_model_readouts_v1,8.646911359100806e+17,root_864691135910080681,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
135,9,3,118,112,190.25,314.6,319.64,LM,1,0.649099,all_model_readouts_v1,,,,unassigned,False,False,
136,5,7,4186,3813,1223.78,232.68,296.15,RL,4,0.396894,all_model_readouts_v1,8.646911359380503e+17,root_864691135938050357,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
137,9,3,4567,4230,1105.2,424.79,328.39,RL,4,0.275877,all_model_readouts_v1,8.646911358413768e+17,root_864691135841376739,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
138,5,6,7267,6657,1177.93,178.68,441.88,RL,6,0.698852,all_model_readouts_v1,8.646911351559791e+17,root_864691135155979108,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
139,6,7,8120,7420,1223.53,474.52,529.33,RL,8,0.319389,all_model_readouts_v1,8.646911356556861e+17,root_864691135655686082,L6short-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
140,5,7,2278,2079,895.94,1080.7,166.62,V1,2,0.855198,all_model_readouts_v1,8.646911354549134e+17,root_864691135454913386,L2c,L23,True,True,aibs_metamodel_mtypes_v661_v2
141,4,7,5749,5108,1177.3,607.55,369.22,V1,6,0.545654,all_model_readouts_v1,8.646911354632262e+17,root_864691135463226269,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
142,5,6,7596,6964,912.45,480.61,445.92,V1,6,0.800308,all_model_readouts_v1,8.646911352941466e+17,root_864691135294146572,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
143,4,7,1833,1550,608.33,1081.29,244.28,V1,3,0.832102,all_model_readouts_v1,,,,unassigned,False,False,
144,5,6,2631,2415,808.63,260.3,170.74,AL,2,0.661598,all_model_readouts_v1,8.646911351356234e+17,root_864691135135623449,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
145,5,7,4134,3766,1052.31,153.85,296.58,AL,4,0.70676,all_model_readouts_v1,8.646911351141513e+17,root_864691135114151321,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
146,5,7,7379,6702,1070.31,144.67,430.84,AL,6,0.6691,all_model_readouts_v1,8.646911357537423e+17,root_864691135753742285,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
147,5,6,5355,4922,1125.76,80.77,303.98,AL,4,,all_model_readouts_v1,,,,unassigned,False,False,
148,6,4,3944,3620,828.9,362.19,274.2,LM,4,0.775795,all_model_readouts_v1,8.646911359209315e+17,root_864691135920931504,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
149,6,7,6143,5582,821.51,425.71,393.27,LM,6,0.788917,all_model_readouts_v1,8.646911355823602e+17,root_864691135582360173,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
150,8,5,10418,9793,797.5,357.89,507.17,LM,8,0.736314,all_model_readouts_v1,8.646911359194057e+17,root_864691135919405744,L5b,L5,True,True,aibs_metamodel_mtypes_v661_v2
151,9,4,19,16,462.93,187.53,169.79,LM,1,0.318011,all_model_readouts_v1,,,,unassigned,False,False,
152,6,4,3935,3612,1225.21,327.23,270.98,RL,4,0.675767,all_model_readouts_v1,8.646911353744119e+17,root_864691135374411849,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
153,9,3,8418,7759,889.93,425.64,340.89,RL,6,0.432541,all_model_readouts_v1,8.646911352089261e+17,root_864691135208926073,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
154,6,7,6008,5457,1217.04,179.85,390.83,RL,6,0.540098,all_model_readouts_v1,8.646911356151194e+17,root_864691135615119307,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
155,6,6,7042,6521,1272.12,447.25,400.39,RL,6,,all_model_readouts_v1,,,,unassigned,False,False,
