task_index,session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
6065,9,6,1645,1519,1042.27,544.4,201.73,V1,2,0.679575,all_model_readouts_v1,8.64691135441379e+17,root_864691135441378888,L3a,L23,True,True,aibs_metamodel_mtypes_v661_v2
6066,6,7,3629,3297,1035.72,729.5,259.94,V1,4,0.547085,all_model_readouts_v1,8.646911353757499e+17,root_864691135375749832,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
6067,5,6,7192,6594,1302.39,901.01,447.79,V1,6,0.868956,all_model_readouts_v1,8.64691135867956e+17,root_864691135867955990,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6068,9,4,3328,3088,486.0,946.68,181.61,V1,3,0.520972,all_model_readouts_v1,,,,unassigned,False,False,
6069,6,2,1282,1175,956.9,191.66,147.55,AL,2,0.43013,all_model_readouts_v1,8.646911357376173e+17,root_864691135737617300,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
6070,7,3,5505,5064,953.18,93.46,343.04,AL,4,0.518629,all_model_readouts_v1,8.646911352138043e+17,root_864691135213804344,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
6071,4,7,8144,7263,1070.49,135.2,503.78,AL,8,0.487123,all_model_readouts_v1,8.646911357725701e+17,root_864691135772570107,L5ET,L5,True,False,aibs_metamodel_mtypes_v661_v2
6072,5,7,8574,7860,1031.71,178.23,565.2,AL,8,0.330824,all_model_readouts_v1,8.646911350125645e+17,root_864691135012564470,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
6073,7,5,6671,6021,722.78,229.02,366.78,LM,6,0.720828,all_model_readouts_v1,,,,unassigned,False,False,
6074,9,6,5015,4674,1113.23,524.52,223.25,RL,4,0.417166,all_model_readouts_v1,8.646911369657751e+17,root_864691136965775054,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
6075,6,2,7084,6553,877.87,406.75,423.84,RL,6,0.31765,all_model_readouts_v1,8.646911358668159e+17,root_864691135866815877,L4c,L4,True,False,aibs_metamodel_mtypes_v661_v2
6076,7,5,8643,7842,1140.65,434.57,502.73,RL,8,0.300174,all_model_readouts_v1,8.646911360327054e+17,root_864691136032705467,L5NP,L5,True,True,aibs_metamodel_mtypes_v661_v2
6077,9,3,1589,1467,898.07,321.54,318.96,RL,2,,all_model_readouts_v1,,,,unassigned,False,False,
6078,4,7,2913,2536,885.82,639.55,241.66,V1,4,0.898171,all_model_readouts_v1,8.64691135383188e+17,root_864691135383187930,L3b,L23,True,True,aibs_metamodel_mtypes_v661_v2
6079,9,3,8460,7799,1165.21,571.76,340.51,V1,6,0.365007,all_model_readouts_v1,8.6469113511416e+17,root_864691135114160025,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
6080,6,4,6923,6404,1025.56,988.24,415.72,V1,6,0.791317,all_model_readouts_v1,8.64691136009507e+17,root_864691136009506990,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6081,6,6,832,767,490.77,995.1,126.59,V1,1,0.374594,all_model_readouts_v1,,,,unassigned,False,False,
6082,9,4,1427,1326,891.48,164.79,166.53,AL,2,0.111238,all_model_readouts_v1,8.646911357375446e+17,root_864691135737544580,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
6083,4,7,6756,5973,1069.75,146.22,370.13,AL,6,0.751199,all_model_readouts_v1,8.646911355911127e+17,root_864691135591112715,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
6084,5,7,6582,5981,897.94,117.5,432.18,AL,6,0.448354,all_model_readouts_v1,8.646911354985741e+17,root_864691135498574099,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
6085,7,5,8543,7747,731.13,102.7,501.69,AL,8,0.52307,all_model_readouts_v1,,,,unassigned,False,False,
