session,scan,readout,static_gabor_response,brain_area,grating_response,MESI,Natural,dynamic_gabor_response,medi_response
6,2,3512,3.681124448776245,LM,2.146160840988159,6.252242565155029,17.49139404296875,3.836566686630249,8.096648216247559
8,5,4316,3.50279188156128,RL,8.98552131652832,6.806156158447266,7.357745170593262,28.184738159179688,60.04853439331055
7,5,7979,0.1282129883766174,RL,2.4871320724487305,0.3679412603378296,10.673017501831056,1.533144235610962,3.491243839263916
5,6,7078,2.530634880065918,LM,18.61323928833008,3.027984857559204,11.35891342163086,12.451090812683104,9.77248764038086
6,6,5218,4.128117084503174,LM,4.4663190841674805,8.23959732055664,15.182668685913086,2.4923131465911865,20.444032669067383
6,4,4655,18.155607223510746,AL,4.9139909744262695,38.6627311706543,17.931495666503906,1.6926308870315552,47.92583847045898
5,6,5012,2.4184815883636475,AL,10.045292854309082,11.629497528076172,9.908411026000977,7.675455093383789,37.24975204467773
4,7,3082,1.373442530632019,RL,2.7677905559539795,6.7614569664001465,3.389135360717773,4.511775970458984,27.34287452697754
5,6,2520,3.001660108566284,LM,13.972681045532228,5.206624031066895,7.195838451385498,8.344303131103516,24.67218780517578
6,2,5195,5.388255596160889,V1,4.461353778839111,10.0914888381958,5.2469258308410645,3.231292724609375,15.60777759552002
6,6,5799,0.8161312937736511,RL,6.9639201164245605,3.5225327014923096,23.525131225585938,7.787023544311523,45.57160949707031
8,5,72,3.621303081512451,AL,3.876437187194824,4.200554370880127,4.937622547149658,2.8440942764282227,4.657850742340088
5,6,1195,1.797902226448059,LM,2.157351016998291,2.609973192214966,14.573949813842772,5.317551136016846,13.231694221496582
9,6,1375,0.9488128423690796,RL,2.0507020950317383,2.2989490032196045,6.950659275054932,3.30532455444336,13.168485641479492
9,3,6846,8.198356628417969,RL,3.631298303604126,16.172163009643555,8.842491149902344,3.8210372924804688,26.4184513092041
6,2,6360,3.2962024211883545,V1,4.906641960144043,6.1667656898498535,8.280304908752441,1.19298255443573,3.264414072036743
5,7,6783,0.5136768221855164,AL,1.6658951044082642,0.8767859935760498,7.544938564300537,8.249800682067871,18.04327392578125
