session,scan_idx,readout_id,task_index,unit_id,unit_x,unit_y,unit_z,brain_area,field,cc_max,population,pt_root_id,em_root_key,mtype,layer,is_em_linked,is_unique_em_neuron,layer_source
5,6,7951,2788,8606,937.88,282.32,569.03,RL,8,0.594474,all_model_readouts_v1,8.646911363892154e+17,root_864691136389215351,L6tall-a,unassigned,True,False,aibs_metamodel_mtypes_v661_v2
9,6,4646,35971,4987,1221.92,485.33,222.34,RL,4,0.460735,all_model_readouts_v1,8.646911359469322e+17,root_864691135946932260,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
6,2,6796,3471,7358,1140.3,130.96,422.16,AL,6,0.86957,all_model_readouts_v1,8.646911354168088e+17,root_864691135416808890,L5a,L5,True,False,aibs_metamodel_mtypes_v661_v2
7,5,5693,54604,6281,549.23,277.82,369.04,LM,5,0.794067,all_model_readouts_v1,,,,unassigned,False,False,
4,7,5848,8215,6595,911.16,258.92,373.6,AL,6,0.663737,all_model_readouts_v1,8.64691135586074e+17,root_864691135586073980,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
7,5,3710,20397,4098,905.32,339.35,234.13,RL,4,0.61611,all_model_readouts_v1,8.646911364882998e+17,root_864691136488299794,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
5,7,5194,89782,5710,321.74,567.19,438.18,V1,5,0.564001,all_model_readouts_v1,,,,unassigned,False,False,
5,7,1124,29930,1205,389.53,247.67,169.83,LM,1,0.503505,all_model_readouts_v1,,,,unassigned,False,False,
6,6,5891,23660,6349,980.26,448.98,401.1,RL,6,0.621366,all_model_readouts_v1,8.646911361237292e+17,root_864691136123729190,L4c,L4,True,True,aibs_metamodel_mtypes_v661_v2
8,5,838,47210,877,651.97,328.57,239.02,LM,1,0.730798,all_model_readouts_v1,,,,unassigned,False,False,
6,6,3283,16460,3546,898.06,147.96,263.29,AL,4,0.29693,all_model_readouts_v1,8.646911360909398e+17,root_864691136090939828,L3b,L23,True,False,aibs_metamodel_mtypes_v661_v2
9,4,6366,23028,6814,479.18,171.88,188.04,LM,5,0.466364,all_model_readouts_v1,,,,unassigned,False,False,
9,6,2462,4028,2633,800.74,278.64,202.39,AL,2,0.160691,all_model_readouts_v1,8.64691135491443e+17,root_864691135491442919,L3a,L23,True,False,aibs_metamodel_mtypes_v661_v2
9,3,1431,16593,1552,1278.08,247.57,317.96,RL,2,0.612176,all_model_readouts_v1,8.646911369515622e+17,root_864691136951562207,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
9,3,2555,1902,2731,1025.21,146.3,317.67,AL,2,0.495351,all_model_readouts_v1,8.646911357625912e+17,root_864691135762591286,L4b,L4,True,False,aibs_metamodel_mtypes_v661_v2
5,7,862,76617,931,617.04,578.07,167.15,V1,1,0.752817,all_model_readouts_v1,,,,unassigned,False,False,
9,4,7573,19081,8115,838.94,1156.88,190.73,V1,6,0.69004,all_model_readouts_v1,8.64691135781828e+17,root_864691135781827920,L2c,L23,True,False,aibs_metamodel_mtypes_v661_v2
9,3,5418,28196,5866,412.82,258.83,340.39,LM,5,0.702721,all_model_readouts_v1,,,,unassigned,False,False,
8,5,2872,40505,3022,286.47,318.22,251.29,LM,3,0.704831,all_model_readouts_v1,,,,unassigned,False,False,
9,3,1384,6642,1501,1151.76,159.7,317.58,AL,2,0.265699,all_model_readouts_v1,8.646911360327023e+17,root_864691136032702395,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
5,7,6063,1029,6677,970.63,413.95,434.79,RL,6,0.811921,all_model_readouts_v1,8.646911362283368e+17,root_864691136228336721,L5a,L5,True,True,aibs_metamodel_mtypes_v661_v2
6,2,2393,50338,2607,240.79,251.34,292.03,LM,3,0.752982,all_model_readouts_v1,,,,unassigned,False,False,
9,3,7817,8038,8479,1024.0,419.25,340.31,RL,6,0.296722,all_model_readouts_v1,8.64691135123181e+17,root_864691135123181095,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
5,7,3462,72649,3781,581.58,1069.06,301.33,V1,3,0.681623,all_model_readouts_v1,,,,unassigned,False,False,
5,6,6180,7805,6747,1222.21,278.27,442.56,RL,6,0.406669,all_model_readouts_v1,8.646911353452323e+17,root_864691135345232287,L5ET,L5,True,True,aibs_metamodel_mtypes_v661_v2
5,7,4728,43440,5199,895.51,462.21,299.55,V1,4,0.810283,all_model_readouts_v1,8.646911361446013e+17,root_864691136144601396,L4b,L4,True,True,aibs_metamodel_mtypes_v661_v2
7,5,7040,56971,7795,678.78,403.85,507.75,LM,7,0.541729,all_model_readouts_v1,,,,unassigned,False,False,
8,5,7115,22883,7533,983.03,371.55,370.74,RL,6,0.751327,all_model_readouts_v1,8.64691136024821e+17,root_864691136024821049,L4a,L4,True,True,aibs_metamodel_mtypes_v661_v2
9,3,6546,56782,7096,146.34,227.13,340.73,LM,5,0.258414,all_model_readouts_v1,,,,unassigned,False,False,
6,2,5109,4136,5537,687.38,385.08,425.17,LM,5,0.758279,all_model_readouts_v1,,,,unassigned,False,False,
7,3,5890,25828,6385,550.32,191.95,423.99,LM,5,0.760457,all_model_readouts_v1,,,,unassigned,False,False,
